PID,DOI,ISI,PMID,ScopusId,Year
"800946","10.1103/PhysRevC.91.024323","000350104800002",,"2-s2.0-84923872912","2015"
"822228","10.1002/aenm.201402340","000354810400011",,"2-s2.0-84929963802","2015"
"807257","10.1021/ja511457g","000350614700029","25553488","2-s2.0-84924311187","2015"
"899418",,,,,"2015"
"848577","10.5772/60045","000357672200001",,"2-s2.0-84934917557","2015"
"867474","10.1007/978-3-319-16631-5_15","000362451400015",,"2-s2.0-84942546553","2015"
"748142","10.1016/j.anucene.2014.07.046","000347493400015",,"2-s2.0-84906544883","2015"
"915724","10.1109/SAMOS.2015.7363678","000380507900029",,"2-s2.0-84963665644","2015"
"791700","10.1088/0741-3335/57/1/010301","000348194900001",,"2-s2.0-84914169328","2015"
"920785","10.4028/www.scientific.net/MSF.821-823.838",,,"2-s2.0-84950326986","2015"
"1048782","10.1109/ANIMMA.2015.7465544",,,"2-s2.0-84974623379","2015"
"1292132",,"000398710600061",,,"2015"
"807440","10.1063/1.4914521","000351442900065",,"2-s2.0-84924859308","2015"
"826582","10.1109/TED.2015.2417097","000355405800040",,"2-s2.0-84930198689","2015"
"913897","10.1109/MWSYM.2015.7166831","000370722900128",,"2-s2.0-84946065462","2015"
"809308","10.1109/MWSYM.2015.7166829","000370722900126",,"2-s2.0-84946092478","2015"
"800676","10.1109/LED.2014.2386317","000350334100028",,"2-s2.0-84921892943","2015"
"860213","10.5220/0005286302100215","000380546700033",,"2-s2.0-84936762426","2015"
"949427",,,,"2-s2.0-84983319707","2015"
